,name_primary,name_secondary,latitude,longitude
0,Yandina,Synoptic,-9.0667,159.2167
2,Choisuel Bay,Rainfall,-6.711944,156.396111
3,Sasamungga,Climate,-7.0833,156.75
5,Wagina,AutoRain,-7.469,157.7434
6,Kesao,Rainfall,-9.25,159.65
7,Honiara (Vavaya Ridge),Climate,-9.41,159.96
11,Avu Avu,AWS,-9.8693,160.4115
12,Kohimarama,AutoRain,-9.2838,159.7324
13,Mbiti,AutoRain,-9.7277,159.7513
14,Marau ,Rainfall,-9.8333,160.8167
16,Kia,AutoRain,-7.5678,158.4381
17,Fera,AWS,-8.1034,159.577
18,Kira Kira,Climate,-10.4167,161.8833
19,Marou Bay,AutoRain,-10.2001,161.3309
20,Santa Ana,AWS,-10.8479,162.4547
21,Malu'u,Rainfall,-8.3333,160.6167
23,Atori,AutoRain,-8.7392,160.9339
24,Fote,,-8.6167,160.65
26,Atoifi,Rainfall,-8.85,161
27,Rohinari,Rainfall,-9.3167,161.0833
29,Gwaunaru'u,AWS,-8.7042,160.6822
30,Afio,AutoRain,-9.6094,161.4008
31,Lata,,-10.7167,165.8333
32,Vanikoro,,-11.65,166.9
33,Gizo,,-8.1,156.85
36,Barora,,-8.0333,157.5833
37,Seghe,,-8.5667,157.8833
40,Gibiri,AutoRain,-7.7058,156.7256
41,Mbeulah,AutoRain,-8.2632,157.4279
